file,PGFPlotsEdt-deploy,PGFPlotsEdt,Overleaf,LaTeXOnline
0,1.2452516555786133,1.5648260116577148,1.0078561305999756,1.4537146091461182
1,0.3689439296722412,0.4043850898742676,1.0568435192108154,1.4554011821746826
2,0.3682088851928711,0.3962018489837646,0.953904151916504,1.41225004196167
3,0.3683345317840576,0.4026546478271484,0.9354922771453856,1.4020280838012695
4,1.2844123840332031,1.3428874015808103,1.843780279159546,1.5369620323181152
5,1.2340757846832275,1.2761297225952148,1.7040536403656006,1.4124789237976074
6,1.284043788909912,1.2970848083496094,1.00243878364563,1.485316514968872
7,0.4188637733459472,0.4487597942352295,1.7879838943481443,1.5379819869995115
8,0.4186286926269531,0.4695701599121094,1.8407230377197263,1.561537504196167
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,1.1841449737548828,1.2632818222045898,1.6578466892242432,1.4135088920593262
12,0.368565559387207,1.2586009502410889,0.959681749343872,1.4075870513916016
13,0.0,0.0,0.0,0.0
14,3.6249794960021977,3.703747272491455,8.20108437538147,7.906826496124268
15,3.824992656707764,3.752685785293579,4.249207019805908,8.042670011520386
16,1.671308517456055,1.7002851963043213,2.255995750427246,3.998835802078247
17,0.3685534000396728,0.3963534832000732,0.9431378841400146,1.388946533203125
18,0.4727203845977783,0.4959397315979004,1.824063777923584,1.5764477252960205
19,0.4691956043243408,0.4613769054412842,1.004082202911377,1.52455472946167
20,0.3684990406036377,0.3934798240661621,1.6477601528167725,1.3940825462341309
21,0.4187273979187011,0.4084634780883789,0.9749441146850586,1.4437055587768557
22,0.3685574531555176,0.4079437255859375,0.954500675201416,1.4365112781524658
23,0.4184818267822265,0.438704252243042,0.98528790473938,1.4822883605957031
24,0.3682758808135986,0.4019489288330078,0.9826724529266356,1.4381122589111328
25,0.368466854095459,0.4073531627655029,0.9866061210632324,1.4467675685882568
26,0.3684258460998535,0.4105784893035888,0.9739809036254884,1.4167494773864746
27,0.3681941032409668,0.3950300216674804,0.9498372077941896,1.4175233840942385
28,0.418346643447876,0.4399280548095703,0.9842987060546876,1.4732303619384766
29,0.4182677268981933,0.441802978515625,0.9769041538238524,1.4839098453521729
30,0.4230909347534179,1.3005616664886477,1.824486494064331,1.483931303024292
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.4187157154083252,0.4538099765777588,1.7727041244506836,1.5326800346374512
45,0.4183831214904785,0.4444408416748047,1.0116760730743408,1.481672763824463
46,0.4187567234039306,0.4505891799926758,1.009896755218506,1.5202302932739258
47,0.4688062667846679,0.4797704219818115,1.042381763458252,1.5789132118225098
48,0.4689512252807617,0.4947402477264404,1.0438604354858398,1.5565602779388428
49,0.4692201614379883,0.5341460704803467,1.0549509525299072,1.613640546798706
50,0.4185304641723633,0.4767110347747803,0.9860994815826416,1.4965386390686035
51,0.4687559604644775,0.5109834671020508,1.8794264793395996,1.6319360733032229
52,1.5712952613830566,1.599809169769287,4.096059083938599,3.82230281829834
53,0.4186387062072754,0.4112594127655029,0.9471211433410645,1.410630226135254
54,0.3684906959533691,0.4082980155944824,0.9463620185852052,1.4366066455841064
55,0.4184904098510742,0.4138541221618652,0.9534988403320312,1.4336860179901123
56,0.4687807559967041,0.4872639179229736,1.067605972290039,1.5933361053466797
57,0.4187557697296142,0.4405827522277832,1.011601209640503,1.4963393211364746
58,0.419605016708374,0.435889720916748,0.9843063354492188,1.499419927597046
59,0.4690585136413574,0.4852871894836426,1.014030933380127,1.5862579345703125
60,0.418565034866333,0.4313445091247558,1.0161991119384766,1.475799560546875
61,0.4188160896301269,0.4204292297363281,1.0665035247802734,1.4577107429504397
62,0.4189920425415039,0.4234457015991211,0.973947286605835,1.4559111595153809
63,0.418710708618164,0.4239537715911865,0.983551263809204,1.4673137664794922
64,0.4183943271636963,0.4266681671142578,0.9947223663330078,1.4546222686767578
65,0.4186084270477295,0.4346785545349121,0.9949641227722168,1.472323656082153
66,0.4184839725494385,0.4281642436981201,0.9991140365600586,1.4651386737823486
67,0.4184741973876953,0.4228682518005371,1.006387710571289,1.4578540325164795
68,0.4184064865112304,0.4388115406036377,0.9991638660430908,1.4438936710357666
69,0.4185910224914551,0.4215466976165771,0.9870147705078124,1.4598503112792969
70,0.4186944961547851,0.4245526790618896,0.99568772315979,1.4362027645111084
71,0.4184403419494629,0.428586483001709,1.021636962890625,1.4537885189056396
72,0.4183716773986816,0.4220292568206787,0.9775385856628418,1.4617292881011963
73,0.4183070659637451,0.4264819622039795,0.9633638858795166,1.4722497463226318
74,0.4182229042053222,0.4206001758575439,0.9859108924865724,1.4629883766174316
75,0.4185409545898437,0.4133555889129638,0.9618229866027832,1.4482364654541016
76,1.484666109085083,1.52221941947937,1.2376396656036377,1.9287283420562744
77,0.4187202453613281,1.2890381813049316,0.9923427104949952,1.493229866027832
78,0.618729829788208,0.6237702369689941,1.181062936782837,1.868420124053955
79,0.4684953689575195,0.484304666519165,1.0255343914031982,1.5984599590301514
80,0.5689260959625244,0.5603504180908203,1.1184682846069336,1.7677526473999023
81,0.5687675476074219,0.5639331340789795,1.1241848468780518,1.7391846179962158
82,0.5688755512237549,0.5759034156799316,1.9974303245544431,1.763211727142334
83,0.0,0.0,0.0,0.0
84,0.56941819190979,0.5737512111663818,2.0395939350128174,1.749481201171875
85,0.5694255828857422,0.5766580104827881,1.1474239826202393,1.7772588729858398
86,0.5691125392913818,0.5784273147583008,1.1353559494018557,1.766845703125
87,0.4184634685516357,0.415513277053833,0.9838850498199464,1.436845779418945
88,0.4186654090881347,0.4173481464385986,0.9960825443267822,1.4373650550842283
89,0.6189968585968018,0.6320271492004395,1.1625590324401855,1.862190008163452
90,0.4187731742858886,0.4152534008026123,0.9866504669189452,1.4374277591705322
91,0.4186122417449951,0.4205472469329834,0.9878690242767334,1.4430010318756104
92,0.4195833206176758,0.3941991329193115,1.0761675834655762,1.3946785926818848
93,0.0,0.0,0.0,0.0
94,0.569429874420166,0.5383939743041992,1.9416093826293943,1.669973373413086
95,0.0,0.0,0.0,0.0
96,0.4195852279663086,0.4063067436218261,1.7081255912780762,1.412266969680786
97,0.372798204421997,0.3915941715240478,0.9495832920074464,1.405440330505371
